cluster_id,n_events,magnitude_W_mean,magnitude_W_ci_lo,magnitude_W_ci_hi,pf_appliance_mean,pf_appliance_ci_lo,pf_appliance_ci_hi,inrush_ratio_mean,inrush_ratio_ci_lo,inrush_ratio_ci_hi,N_ratio_post_mean,N_ratio_post_ci_lo,N_ratio_post_ci_hi,reactive_frac_mean,reactive_frac_ci_lo,reactive_frac_ci_hi,phase_balance_mean,phase_balance_ci_lo,phase_balance_ci_hi,dominant_phase,phase_purity,pct_ON,pct_OFF,duration_mean_s,duration_median_s,n_meters,meters,appliance_label
0,11496,1979.7791872700416,1918.5840455022721,2049.658301243378,-0.021219153231831506,-0.03988683305252099,-0.0010213995749740645,1.2284470820413775,1.222766906109133,1.234326007901773,0.5610168004897148,0.5496434251529055,0.5756540922209189,0.08541552646283833,0.08373652426282932,0.08744849708819549,0.2068493698433968,0.19670740465176922,0.21534854667164294,THREE_PHASE,0.2926235212247738,0.4899095337508699,0.5100904662491301,419.4304000000001,262.144,61,"Meter-M221130D0001,Meter-M230506D0004,Meter-M230506D0005,Meter-M230508D0002,Meter-M231222D0001,Meter-M240112D0001,Meter-M240212D0001,Meter-M240216D0001,Meter-M240216D0002,Meter-M240216D0005,Meter-M240319D0007,Meter-M240320D0003,Meter-M240320D0004,Meter-M240425D0001,Meter-M240517D0001,Meter-M240616D0001,Meter-M240627D0001,Meter-M240702D0001,Meter-M240702D0002,Meter-M240719D0001,Meter-M241210D0001,Meter-M241210D0003,Meter-M241210D0004,Meter-M241210D0006,Meter-M241210D0014,Meter-M241220D0001,Meter-M241220D0003,Meter-M241220D0004,Meter-M241220D0005,Meter-M241221D0012,Meter-M241221D0013,Meter-M241221D0019,Meter-M241221D0031,Meter-M241221D0034,Meter-M241221D0035,Meter-M241221D0037,Meter-M241221D0038,Meter-M241221D0039,Meter-M241221D0040,Meter-M241221D0041,Meter-M241222D0006,Meter-M241222D0008,Meter-M241222D0010,Meter-M241222D0012,Meter-M241224D0003,Meter-M241224D0004,Meter-M241224D0005,Meter-M241224D0006,Meter-M241224D0007,Meter-M241224D0008,Meter-M241224D0009,Meter-M241224D0010,Meter-M250106D0002,Meter-M250510D0003,Meter-M250510D0006,Meter-M250510D0008,Meter-M250522D0002,Meter-M250915D0001,Meter-M260131D0001,Meter-M260207D0004,Meter-M260207D0007",MIXED_UNCLASSIFIED
1,673,541.9890945358051,486.4725041288265,601.1044117675011,0.09369824856768473,0.04174740936193161,0.1425813749150615,1.0727475924552208,1.0681438101385146,1.0780750960195356,0.5965267057885993,0.5699169050916476,0.6294870248191552,0.6360272535309182,0.6279754799265398,0.6448904349776499,0.7159061755356811,0.7001739161061729,0.7304953090503008,THREE_PHASE,0.6760772659732541,0.5780089153046062,0.42199108469539376,394.2730322580645,393.216,19,"Meter-M230506D0005,Meter-M240212D0001,Meter-M240216D0001,Meter-M240216D0002,Meter-M240320D0004,Meter-M240425D0001,Meter-M240517D0001,Meter-M240616D0001,Meter-M240627D0001,Meter-M240702D0001,Meter-M240702D0002,Meter-M240719D0001,Meter-M241220D0004,Meter-M241221D0012,Meter-M241221D0035,Meter-M241221D0041,Meter-M241224D0003,Meter-M250510D0003,Meter-M260207D0007",HEAVY_INDUCTIVE_LOW_PF
9,498,154.00442162121797,145.66612044001207,163.3205104333553,0.02562710179103941,-0.024156266018669804,0.07036611321945632,1.0128432673919123,1.0111820436657015,1.0148562307084052,0.7441181196971476,0.7237708416889179,0.7704580878908165,0.6225990087050011,0.6198273468109281,0.626176291144851,0.5548752421098183,0.528188587594703,0.5767162304770928,TWO_PHASE,0.4738955823293173,0.5220883534136547,0.4779116465863454,,,6,"Meter-M240216D0002,Meter-M240320D0003,Meter-M240425D0001,Meter-M240627D0001,Meter-M240702D0002,Meter-M240719D0001",HEAVY_INDUCTIVE_LOW_PF
21,496,7965.702097694681,7627.0275090819705,8297.374506002676,0.9989655054446034,0.9984633960300608,0.9994507405871169,1.2009160265163996,1.1809182729855077,1.2205197326859403,0.05881937083134026,0.05079625158184069,0.06877555783591596,0.02792067423499689,0.02535309649457167,0.030104922889074574,0.9898525837745906,0.9888551657573599,0.9907608618147713,THREE_PHASE,1.0,1.0,0.0,,,3,"Meter-M240318D0003,Meter-M240320D0004,Meter-M240720D0001",LARGE_HEATER_OVEN
4,403,669.7776102013584,632.8599087428584,710.5318446422087,0.9959575270659751,0.9947347199056721,0.9969445737207101,1.2389395461669517,1.2224167336262362,1.2577268796076226,0.055568174234822056,0.04406430079392353,0.06746160317431656,0.07215978917972109,0.06868800357338699,0.07569140296667509,-0.044277988401157035,-0.06583451259343451,-0.018185331781232123,SINGLE_B,0.4466501240694789,1.0,0.0,,,1,Meter-M240318D0003,HEATER_ELEMENT
16,343,7091.6370629226385,6700.44923945547,7512.49496368622,-0.9983722130120296,-0.9990468588334738,-0.9975958769095179,1.8189601033219722,1.7761421960026662,1.8656823910071227,0.08607091606100721,0.0741587268605995,0.09801510930204581,0.027305938660407782,0.024642440527434677,0.030255009147622,0.9896229178559884,0.9882460275624274,0.9908080445228954,THREE_PHASE,1.0,0.0,1.0,,,2,"Meter-M240320D0004,Meter-M240720D0001",MIXED_UNCLASSIFIED
5,307,515.8070647970732,484.5523973137755,551.2817626828454,-0.9936265824767261,-0.9952464025956578,-0.9917517800890611,1.48332533674473,1.4600808140860237,1.5121286392508517,0.06097820879686322,0.049380846871345745,0.07425871205308898,0.07368180354540348,0.06987679680497072,0.07773950391759278,-0.06735821546480684,-0.09994025086084493,-0.03706868069457125,SINGLE_B,0.4527687296416938,0.0,1.0,,,1,Meter-M240318D0003,MIXED_UNCLASSIFIED
13,268,9692.409699271611,9111.297160906803,10402.437346730414,-0.9982125580339812,-0.9990535892454516,-0.9972674599890653,7.719101098038158,7.6252689966430385,7.806785056137452,0.7831110499955161,0.704363272312588,0.8673646840602495,0.027573947016556,0.024838789101477063,0.030770989855389126,0.993383204283894,0.9923082406996743,0.9940781568761927,THREE_PHASE,1.0,0.0,1.0,,,2,"Meter-M240320D0004,Meter-M240720D0001",LARGE_3PH_MOTOR_DOL
20,157,5193.1303401525865,4777.9995124220895,5666.408096970165,-0.9987956673486595,-0.9995293727792484,-0.997803736424257,1.2881451500265824,1.2490182245309713,1.322671220792081,0.051658619244251774,0.04730059454741059,0.05520716504487265,0.03482938808673749,0.029280683884403188,0.040678836047793696,0.9878186044606553,0.9851502019379011,0.9898909930515709,THREE_PHASE,1.0,0.0,1.0,,,1,Meter-M240320D0004,MIXED_UNCLASSIFIED
3,133,6448.666853168076,5854.948594441425,6998.011980090608,0.9999963340865198,0.9999890022595594,1.0,0.9181981758619547,0.9009665017015059,0.9359957325491794,0.7301635130236913,0.673456304979055,0.7848677213115108,0.04236635342613631,0.03731512227772918,0.04723595849879315,0.9154929759762808,0.8990042839754808,0.9298664647469033,THREE_PHASE,0.9924812030075187,1.0,0.0,,,4,"Meter-M240216D0002,Meter-M240216D0005,Meter-M240627D0001,Meter-M240719D0001",SWITCHING_PSU_UPS
15,133,5777.98002994446,5239.913033009456,6427.307765183054,0.9996929325077915,0.9993607762275133,0.9999506053047283,0.9913917951186836,0.9673508846894837,1.01345870737858,0.048778507254543,0.038711421686945025,0.06508346467451365,0.032766804221931504,0.027768562182520527,0.037651237713708194,0.984962804427849,0.9818338086762479,0.9874233914719653,THREE_PHASE,1.0,1.0,0.0,,,2,"Meter-M240320D0004,Meter-M240720D0001",LARGE_HEATER_OVEN
14,112,14187.703426819757,13450.262123643019,15094.861474853655,0.9998174777588862,0.9994700773187976,1.0,1.35960744806184,1.3115158294514289,1.4124614622162712,0.07053819551174115,0.06811357739169092,0.07364810814041882,0.025963577938280108,0.022269090155976997,0.029620220013162456,0.9931831183637875,0.9907468011024252,0.9947567136812919,THREE_PHASE,1.0,1.0,0.0,,,1,Meter-M240320D0004,MIXED_UNCLASSIFIED
25,107,3604.1827502099154,3247.9823195374865,3972.871270731038,-0.9980763056321504,-1.0,-0.9951092807873744,1.388625443883148,1.3651162619637205,1.417749974292448,1.9161921013931136,1.8496903677325458,2.000866818057776,0.04240332129958863,0.03960772236980671,0.045661178181553734,-0.3820950505741543,-0.3921488379478118,-0.37048547833909007,SINGLE_B,1.0,0.0,1.0,,,10,"Meter-M240702D0002,Meter-M241210D0004,Meter-M241220D0001,Meter-M241220D0003,Meter-M241221D0012,Meter-M241221D0013,Meter-M241221D0037,Meter-M250510D0008,Meter-M260131D0001,Meter-M260207D0007",MIXED_UNCLASSIFIED
